case,load_scale,p_demand_mw,q_demand_mvar,status,objective_eur_h,q_slack_mvar,p_slack_mw,losses_mw,v_min,v_max,max_line_loading_pct,p_g1_mw,q_g1_mvar,lambda_q_g1,g1_field_binding,g1_stator_binding,loc_g1_eur_h,p_g2_mw,q_g2_mvar,lambda_q_g2,g2_field_binding,g2_stator_binding,loc_g2_eur_h,p_g3_mw,q_g3_mvar,lambda_q_g3,g3_field_binding,g3_stator_binding,loc_g3_eur_h,p_g4_mw,q_g4_mvar,lambda_q_g4,g4_field_binding,g4_stator_binding,loc_g4_eur_h
free,0.9923076923076923,44.39797961538462,10.955072039392386,optimal,3143.5154355019095,5.890434691809609,38.284998132361196,0.21669134188150707,1.0149732581457127,1.0500000104321354,62.698651188583575,3.116512334543322,3.2047784597967994,1.0254477838138577e-09,False,False,0.0,1.6109440256241667,0.525966245709435,-9.272919189206082e-10,False,False,0.0,1.04482478535686,4.1182043282848175,0.10111635271774573,True,False,283.8622650250198,0.5573916793805853,0.4587861609192052,-1.7570169055070298e-09,False,False,0.0
free,1.0205128205128207,45.65993769230769,11.266456515964263,optimal,3233.7082640202025,6.318148152749153,39.35210438771007,0.22194940101162075,1.0142371471289904,1.0500000104282967,62.861601607329916,3.2276263611073137,3.2639496434353896,1.1103016193423025e-09,False,False,0.0,1.6567526258490675,0.5426859246007616,-8.661986987797381e-10,False,False,0.0,1.0717262370315033,4.11660351444135,0.10345099562123694,True,False,281.9791634077947,0.5736774816213545,0.4705849687263338,-1.6531089330804614e-09,False,False,0.0
free,1.0487179487179488,46.92189576923077,11.577840992536142,optimal,3323.9326833714226,6.751684985145703,40.419105176703184,0.22736939768256548,1.0134947830928356,1.0500000104239655,63.028196743755224,3.338970021374109,3.3234831423884565,1.2022472578359407e-09,False,False,0.0,1.7025621542216904,0.5594070074613811,-8.075064492834094e-10,False,False,0.0,1.0986244504770564,4.114934327553856,0.10585416794599999,True,False,280.09628846660604,0.590003364137295,0.4825091771723721,-1.5524678797244717e-09,False,False,0.0
free,1.076923076923077,48.18385384615385,11.88922546910802,optimal,3414.188929977255,7.191077557078861,41.48599889962965,0.2329531009952177,1.0127461226297632,1.0500000104190415,63.19846160912983,3.450545535766475,3.383380881512071,1.3025997505377224e-09,False,False,0.0,1.748372622474857,0.5761295110602043,-7.509788498050093e-10,False,False,0.0,1.1255192412585215,4.113196450874399,0.10832692035903611,True,False,278.21365311190345,0.6063706480195669,0.49456018661276147,-1.4548192321973776e-09,False,False,0.0
free,1.1051282051282052,49.445811923076924,12.20060994567989,optimal,3504.477245190256,7.636358907551657,42.55278392788114,0.23870231715364554,1.0119911214795823,1.0500000104133942,63.372422014107855,3.5623551441981407,3.443644803830284,1.4129811400948711e-09,False,False,0.0,1.7941840600350694,0.5928534773862417,-6.964022026649596e-10,False,False,0.0,1.152410425902294,4.111389561476015,0.1108703348616307,True,False,276.3312701868394,0.6227806822139335,0.5067394376726139,-1.3599092474134106e-09,False,False,0.0
free,1.1333333333333333,50.70777,12.51199442225177,optimal,3594.797875407989,8.087562760127023,43.619458602552456,0.24461889041806728,1.0112297345108845,1.0500000104068523,63.55010460881033,3.6744012314706502,3.5042770489146227,1.5354219271098183e-09,False,False,0.0,1.839996389573364,0.6095787962321192,-6.435826802922594e-10,False,False,0.0,1.1792978218763859,4.109513330080738,0.11348552595460737,True,False,274.449152468653,0.6392348449452125,0.5190484130321729,-1.2675025199259684e-09,False,False,0.0
free,1.1615384615384616,51.96972807692308,12.823378898823647,optimal,3685.151072191268,8.544723537287917,44.686021233184135,0.25070470408043377,1.0104619157019594,1.050000010399186,63.731536920038266,3.786686007611532,3.565279496291568,1.6725041564872831e-09,False,False,0.0,1.885809747646912,0.6263056623095065,-5.923428158146994e-10,False,False,0.0,1.206181247606848,4.10756742088529,0.11617364178518372,True,False,272.56731266752064,0.6557345449540922,0.5314886389950854,-1.1773798359012452e-09,False,False,0.0
free,1.18974358974359,53.231686153846155,13.134763375395524,optimal,3775.537092387009,9.00787637533595,45.752470096508226,0.2569616814792397,1.0096876181211099,1.0500000103900786,63.916747388549474,3.899211853486844,3.6266542579519743,1.8275712856080315e-09,False,False,0.0,1.9316241401073566,0.6430340839786685,-5.425201807205345e-10,False,False,0.0,1.2330605225195734,4.10555149138048,0.1189358653214881,True,False,270.68576342362985,0.6722812227034004,0.5440616870294683,-1.0893362693615936e-09,False,False,0.0
free,1.217948717948718,54.49364423076924,13.446147851967403,optimal,3865.956198253976,9.477057139773505,46.818803435092846,0.26339178703147326,1.0089067939062948,1.0500000103790827,64.10576540755513,4.011981205369495,3.688403513027921,2.0050404183954807e-09,False,False,0.0,1.9774395585893483,0.6597640493362014,-4.939650925750079e-10,False,False,0.0,1.2599354671358642,4.103465192158258,0.12177341557560338,True,False,268.80451730048947,0.6888763516131592,0.556769175354669,-1.0031794841180862e-09,False,False,0.0
free,1.2461538461538462,55.75560230769231,13.757532328539275,optimal,3956.4086575936312,9.952302441114247,47.88501945535555,0.26999702731637143,1.0081193942437428,1.0500000103655442,64.29862136450033,4.1249965337369545,3.750529476520385,2.210883435409445e-09,False,False,0.0,2.023256003011562,0.6764955582877338,-4.465388543162405e-10,False,False,0.0,1.2868059035505062,4.101308166658646,0.1246875489222974,True,False,266.92358675146454,0.7055214393541076,0.5696127706743354,-9.187282102426284e-10,False,False,0.0
